,Column Labels,,,,,,,,,,,,,,,,,,,
,baseline_never_false,,,,correct200_always_false,,,,correct200_importance50_true,,,,correct200_uncertaintyThreshold30_true,,,,Total Sum of reward,Total Sum of teaching,Total Sum of attention,Total Sum of sumAttention
Row Labels,Sum of reward,Sum of teaching,Sum of attention,Sum of sumAttention,Sum of reward,Sum of teaching,Sum of attention,Sum of sumAttention,Sum of reward,Sum of teaching,Sum of attention,Sum of sumAttention,Sum of reward,Sum of teaching,Sum of attention,Sum of sumAttention,,,,
670,3621.141667,0,0,0,3768.725,0,0,69846.8,3704.875,0,0,53491.2,3694.205556,0,2350.7,154366.0333,14788.94722,0,2350.7,277704.0333
680,3468.166667,0,0,0,3790.7,0,0,69846.8,3750.266667,0,0,53491.2,3670.966667,0,2002.5,156368.5333,14680.1,0,2002.5,279706.5333
690,3539.525,0,0,0,3800.341667,0,0,69846.8,3679.191667,0,0,53491.2,3703.888889,0,2089.633333,158458.1667,14722.94722,0,2089.633333,281796.1667
700,3628.408333,0,0,0,3694.575,0,0,69846.8,3727.95,0,0,53491.2,3700.616667,0,2165.533333,160623.7,14751.55,0,2165.533333,283961.7
710,3602.116667,0,0,0,3703.791667,0,0,69846.8,3750.5,0,0,53491.2,3676.533333,0,2174.2,162797.9,14732.94167,0,2174.2,286135.9
720,3705.291667,0,0,0,3804.541667,0,0,69846.8,3676.825,0,0,53491.2,3740.711111,0,2156.333333,164954.2333,14927.36944,0,2156.333333,288292.2333
730,3660.3,0,0,0,3771.65,0,0,69846.8,3747.208333,0,0,53491.2,3781.927778,0,2096.2,167050.4333,14961.08611,0,2096.2,290388.4333
740,3637.933333,0,0,0,3761.325,0,0,69846.8,3805.7,0,0,53491.2,3663.972222,0,2034.933333,169085.3667,14868.93056,0,2034.933333,292423.3667
750,3606.175,0,0,0,3772.991667,0,0,69846.8,3769.441667,0,0,53491.2,3671.633333,0,2070.233333,171155.6,14820.24167,0,2070.233333,294493.6
760,3650.933333,0,0,0,3701.025,0,0,69846.8,3763.891667,0,0,53491.2,3755.361111,0,2064.833333,173220.4333,14871.21111,0,2064.833333,296558.4333
770,3792.016667,0,0,0,3800.041667,0,0,69846.8,3786.875,0,0,53491.2,3736.216667,0,1980.166667,175200.6,15115.15,0,1980.166667,298538.6
780,3668.875,0,0,0,3718.433333,0,0,69846.8,3701.408333,0,0,53491.2,3778.916667,0,2109.233333,177309.8333,14867.63333,0,2109.233333,300647.8333
790,3675.591667,0,0,0,3815.358333,0,0,69846.8,3689.458333,0,0,53491.2,3757.422222,0,1899.133333,179208.9667,14937.83056,0,1899.133333,302546.9667
800,3685.483333,0,0,0,3825.966667,0,0,69846.8,3797.316667,0,0,53491.2,3706.538889,0,1914.233333,181123.2,15015.30556,0,1914.233333,304461.2
810,3664.283333,0,0,0,3828.583333,0,0,69846.8,3758.375,0,0,53491.2,3745.111111,0,1889.366667,183012.5667,14996.35278,0,1889.366667,306350.5667
820,3745.4,0,0,0,3701.891667,0,0,69846.8,3779.05,0,0,53491.2,3673.188889,0,1977.333333,184989.9,14899.53056,0,1977.333333,308327.9
830,3624.308333,0,0,0,3711.875,0,0,69846.8,3788.541667,0,0,53491.2,3739.272222,0,1967.033333,186956.9333,14863.99722,0,1967.033333,310294.9333
840,3704.883333,0,0,0,3763.091667,0,0,69846.8,3780.133333,0,0,53491.2,3749.427778,0,2020.333333,188977.2667,14997.53611,0,2020.333333,312315.2667
